text,emotion
carefully word blog posts amount criticism hear place coming saudis non saudis goes show feeling discontent lot areas directed towards specific people never swat teams charging conversations,0
cannot remember little mermaid feeling carefree beauty life gets lost somewhere massive piles homework budgeting finances eventually daunting choices life become adult,1
not feeling super well turns cold knocked next three weeks afterward hotter know head not,1
feel honored part group amazing talents,1
think helping also began feel pretty lonely lot people used enjoy climbing moved really feel like anyone climb hard gym anymore,0
feel like pleasant nice around,1
cannot get feelings not trusting head,1
still feeling exhausted know strength gotten day,0
not feeling particularly clever entertaining,1
feeling extremely ugly right,0
feeling sensation divine love chest,1
wish could say got feeling everything going perfect painless not,1
waiting sun come back school called joey sore throat want summer make lunch love alllllllllllll,0
feeling discouraged old clothes summer clothes actually made money summer went shopping thus wearing jeans converse sweatshirt every day,0
already feel becoming casual fandom,1
get feeling real life situation spawned yeah vehicle need loo not pleasant situation imagine schedule thirty people sitting behind,1
feel guilty leaving f,0
love feel well good stuff,1
return sideways fuck meds bills,0
wear glasses feel like really smart person,1
feel fake write distance,0
actually going pick stock feel beaten unfairly come back three companies think underperform,0
feeling generous put files filled brim focaccia kneaded thighs cuban virgins download,1
tell feel confidence enthusiasm super excited,1
fought last night today sitting stuffy head fog feeling completely worthless,0
feel like cup not useful already full,1
feel though helps keep artistic value image text covering album may restrict artistic merit image created,1
feeling brave slipped handful chopped red onion salad,1
starting feel really optimistic fitness,1
feeling energetic point want something new motivation strange not know,1
feeling ungrateful pray god ask show hand life,0
hate feeling needy vulnerable,0
feel lot relieved bishop pressuring us much still stressed success activity,1
really crying laughing hard instead feeling sad one moments know remember forever know,0
feel pretty mellow mixed intense hunger,1
not feel clever funny grateful sweet,1
want know tt ok feel burdened feel sad feel tt feeling,0
actually feel touch homesick seeing scenery,0
no longer feel inhibited prospect male lover broaden horizon,0
hope feeling fond,1
really hoping stops going getting ridiculous bad feeling one us innocent ones going get badly hurt even killed,1
feel like everything else life going well,1
already feeling stuff back aching like mad feel diarrhoea ish maj warned not go toilet break no matter trying tahan,0
reckon need stop feeling bitter realistic,0
feeling artistically deprived recently haha,0
feel like maybe depressed,0
begun feel burdened stories realities girls one boy shelter,0
disregard feelings valuable friendships made working graveyards,1
feel ugly eat sweets much,0
terrible cartoon supposed mexican,0
feel relief freedom self determined destiny,1
woke cat face haha,1
feeling gloomy unmotivated overwhelmed,0
argyle sockso sorry shannon,0
looking blood almost feeling punished arrogant,0
feeling pretty relaxed glazing away nat,1
pass says hey feeling important honest,1
think faux stuff feels unpleasant looks ugly,0
officially graduated not feeling ecstatic thought would,1
great talk tony afternoon going give another go,1
sashaostrikoff miss,0
said goodbye grandmother cousins monotonously comparing goodbye friends feeling sorry not guilty not caring family,0
feel honored capture important moment lives,1
feel convinced actions anymore therefore clever vs,1
trevorab aww poor dear awesome came race,0
feel really emotional journey,0
know lonely feel rotten,0
feel like target blank href http lds,0
fritz roderick von hughes sad kennel day,0
left feeling pretty,1
feel fucking heartbroken,0
feel not anything god throws pleasant surprise,1
never feel contented,1
want mark feel like useful successful,1
got home feeling exhausted discouraged,0
struggle way feeling content,1
happy mother day mom happen greatest mom world love mom best friend,1
returned home feeling exhausted satisfied day,0
not spoil movie course think like version sleeping beauty feel angelina jolie perfect part maleficent,1
started feeling crappy saturday morning,0
feel assured pick php fairly quickly mod several themes fit needs,1
actually jumped gun already sent one week ago get feel rejected,0
remember feeling embarrassed even young child clothes ugly mismatched,0
feel quite disturbed tell whether someone male female,0
could pilaf steamed veggies feeling rather deprived one vacation year not cooking succumbed bit seafood,0
feel really bothered lack time get find inspiration,0
guess feel morose,0
feel hated cempaka,0
not witty think much many followers feel stupid private slightly less awful bra shopping not much,0
roasting probably death,0
feel nothing never forget much hated back,0
anything want let fall depression especially since feeling bit remorseful moment,0
eughhhh feels really ill today headache bunged sore throat hayfever,0
allowed leave feeling unloved unworthy,0
feeling dirty,0
addicted feeling hated,0
feel like ava fantastic know going fine emotions get best,1
feel like photo type posts going suit kind content want produce,1
kikirowr aww not,0
feel distribution important would rather guaranteed loss ten days chance losing years,1
feel hopeless desperate many months,0
want meet knew would uncomfortable encounter simply feelings become messy,0
feel particularly brave okay,1
also say feel pretty sweet featured alongside katelyn james,1
feel faithful facts,1
lindsayslifee look nice atleast haha lt,1
feel confident day picture,1
not wear lot like keep handy case feeling ever adventurous not often,1
aubs thoughts exactly leaving dogs al hate see luggage come,0
feel others suffering,0
know feel graceful dance,1
must say reading book kind feeling sorry popular talented,0
feel pressure act like heartbroken secretly not really care much,0
feeling generous would love hit followers,1
almost always feel pathetic lowest low pay,0
lionschmion honey not think kidding moment feel dedication gorgeous smirky men strong indeed,1
honestly say sistahs chat feel invigorated blessed,1
bgt gutted finishes tomorrow stavros flatley way,1
feeling particularly environmentally friendly,1
feeling like welcomed home,1
also feeling trusting master lately,1
dreaming dog know not feel troubled dream,0
got surprised feel bit groggy,0
need know ask forgiveness times process not thought gospel first considered feelings important therefore sinned,1
find shopping town difficult overwhelmed choices amp not good around people feel embarrassed browse online like add add need product,0
constantly evaluated far making list feeling would forever feel disheartened,0
feel divine intervention found shortly thereafter taken ontario hospital,1
feel inside life like game sometimes came around walls disappeared nothing surround keep fears unprotected see opened oh made trust nver felt like img src http www,0
still feeling tragic moments,0
feel hurt time single nigerian killed including boko haram still nigerians asked countries support including usa uk france cameroon chad e,0
feeling adventurous morning friend lisa href http lisaprojectvegan,1
woke still feel sleep deprived cutting tree bare scissors ax,0
feel broke college student depositing bank account data related syedbalkhifounder wpbeginner data count vertical tweet,0
expressed concerns jens mobility really declined point sometimes uses crutches good day doctor suggested occupational therapy said would contact local occupational therapist went merry way feeling rather disheartened,0
feel rather less jubilant might expect,1
go date certain guy worst left feeling somewhat rejected probably go beer pizza friends,0
feeling not smart grades portray,1
cannot give feel helpless,0
always feel invigorated walk around manhattan,1
would able fulfill master wishes dreams spread knowledge meditation nook corner world let get involved something together always feel proud,1
feel like rich privileged girl everything given still fails happy,1
told feeling quite smug choice go drugs right,1
feel really cool haha,1
feel beloved around parts dan snyder not,1
feel comfortable job setting first started blog post,1
feel like punished react well,0
never thin hopefully know feeling soon remain faithful cambridge,1
feel clever intelligent pretty beautiful,1
not love probably not see say pretty engrossing maybe feel dumb twists turns erotic thriller took kept guessing ending end,0
say sometimes stretch understand people feeling senses neurons feeling assaulted g knows cares understands acts feelings,0
feel often disturbed tardy,0
feel pretty spot instance guessing,1
watching tv home wishing could get chicken shish delivered not go enough pennies,0
feel like put stop grounds someone could get hurt guess figure,0
not need kid thinking must order prove something feel like successful,1
feel heart free soul listening quietly hearts wails try sleep shut eyes realize not thought smile one sought,1
said done feeling hurt seeing telling different story,0
frustrated not telling not feel comfortable touching like,1
feel like abused,0
feel like no matter see valuable praise worthy,1
feel wonderful double mastectomy video script type text javascript src http platform,1
ddlovato demi think would amazing covered get paramore haha sure know,1
feeling little bit brave posting haikus mine let guess,1
feel little guilty makes think,0
still feel honoured met,1
feel like bad days good ones,0
proud feel college student title makes acceptable,1
feel everything runtime descriptioni messed last one stupid windows movie maker made song longer tha,0
feel especially passionate world boxing nfl football legal see mma legal,1
feel vital anyone coming industry find leader learn follow lead get similar results exactly offered,1
feeling jealous remind story keeps path better living,0
feel little bit melancholy easter time however,0
feeling generous offering give lucky people coupons free copy,1
kept rejecting searching friend would make feel pleasant,1
feel way days also thankful megatron getting bigger stronger day,1
